S.No.,State,City,Station Name,Current AQI value
277,,,"Borivali East, Mumbai - MPCB",88
278,,,"Byculla, Mumbai - BMC",97
279,,,"Chakala-Andheri East, Mumbai - IITM",84.3
280,,,"Chembur, Mumbai - MPCB",106
281,,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",96
282,,,"Colaba, Mumbai - MPCB",85
283,,,"Deonar, Mumbai - IITM",177
284,,,"Ghatkopar, Mumbai - BMC",110
285,,,"Kandivali East, Mumbai - MPCB",106
286,,,"Kandivali West, Mumbai - BMC",84.3
287,,,"Kherwadi_Bandra East, Mumbai - MPCB",93
288,,,"Khindipada-Bhandup West, Mumbai - IITM",94
289,,,"Kurla, Mumbai - MPCB",118
290,,,"Malad West, Mumbai - IITM",119
291,,,"Mazgaon, Mumbai - IITM",123
292,,,"Mindspace-Malad West, Mumbai - MPCB",110
293,,,"Mulund West, Mumbai - MPCB",85
294,,,"Navy Nagar-Colaba, Mumbai - IITM",123
295,,,"Powai, Mumbai - MPCB",117
296,,,"Sewri, Mumbai - BMC",84.3
297,,,"Shivaji Nagar, Mumbai - BMC",104
298,,,"Siddharth Nagar-Worli, Mumbai - IITM",117
299,,,"Sion, Mumbai - MPCB",96
300,,,"Vasai West, Mumbai - MPCB",102
301,,,"Vile Parle West, Mumbai - MPCB",112
302,,,"Worli, Mumbai - MPCB",109
303,,Nagpur,"Ambazari, Nagpur - MPCB",127
304,,,"Mahal, Nagpur - MPCB",192
305,,,"Opp GPO Civil Lines, Nagpur - MPCB",122
306,,,"Ram Nagar, Nagpur - MPCB",115
307,,Nanded,"Sneh Nagar, Nanded - MPCB",84.3
308,,Nashik,"Gangapur Road, Nashik - MPCB",85
309,,,"Hirawadi, Nashik - MPCB",122
310,,,"MIDC Ambad, Nashik - MPCB",104
311,,,"Pandav Nagari, Nashik - MPCB",100
312,,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",84.3
313,,,"Kopripada-Vashi, Navi Mumbai - MPCB",83
314,,,"Mahape, Navi Mumbai - MPCB",118
315,,,"Nerul, Navi Mumbai - MPCB",84.3
316,,,"Sanpada, Navi Mumbai - MPCB",84.3
317,,,"Sector-19A Nerul, Navi Mumbai - IITM",84.3
318,,,"Sector-2E Kalamboli, Navi Mumbai - MPCB",115
319,,,"Tondare-Taloja, Navi Mumbai - MPCB",106
320,,Parbhani,"Masoom Colony, Parbhani - MPCB",115
321,,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",79
322,,,"Park Street Wakad, Pimpri Chinchwad - MPCB",101
323,,,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",138
324,,,"Thergaon, Pimpri Chinchwad - MPCB",135
325,,Pune,"Alandi, Pune - IITM",84.3
326,,,"Bhosari, Pune - IITM",188
327,,,"Bhumkar Nagar, Pune - IITM",161
328,,,"Dhankawadi, Pune - IITM",176
329,,,"Hadapsar, Pune - IITM",102
330,,,"Karve Road, Pune - MPCB",109
331,,,"Katraj Dairy, Pune - MPCB",106
332,,,"MIT-Kothrud, Pune - IITM",84.3
333,,,"Mhada Colony, Pune - IITM",84.3
334,,,"Panchawati_Pashan, Pune - IITM",80
335,,,"Revenue Colony-Shivajinagar, Pune - IITM",176
336,,,"Savitribai Phule Pune University, Pune - MPCB",122
337,,,"Transport Nagar-Nigdi, Pune - IITM",115
338,,Sangli,"Vijay Nagar, Sangli - MPCB",123
339,,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",135
340,,,"Ratandeep Housing Society, Solapur - MPCB",84
341,,,"Solapur, Solapur - MPCB",86
342,,Thane,"Kasarvadavali, Thane - MPCB",115
343,,,"Upvan Fort, Thane - MPCB",72
344,,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",113
345,,Virar,"Bolinj, Virar - MPCB",90
346,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB",105
347,,,"Manipur University, Imphal - Manipur PCB",84.3
348,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB",84.3
349,,,"Lumpyngngad, Shillong - Meghalaya PCB",84.3
350,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",77
351,Nagaland,Kohima,"PWD Juction, Kohima - NPCB",84.3
352,Odisha,Angul,"Hakimapada, Angul - OSPCB",158
353,,Balasore,"Kalidaspur, Balasore - OSPCB",118
354,,Barbil,"Forest Office, Barbil - OSPCB",169
355,,Baripada,"Meher Colony, Baripada - OSPCB",84.3
356,,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",118
357,,,"Patia, Bhubaneswar - OSPCB",90
358,,Bileipada,"Tata Township, Bileipada - OSPCB",152
359,,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",142
360,,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",124
361,,Cuttack,"CDA Area, Cuttack - OSPCB",107
362,,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",85
363,,Nayagarh,"Dabuna, Nayagarh - OSPCB",140
364,,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB",105
365,,Rourkela,"Fertilizer Township, Rourkela - OSPCB",202
366,,,"Raghunathpali, Rourkela - OSPCB",246
367,,,"Sector-2, Rourkela - OSPCB",222
368,,Suakati,"OMC Colony, Suakati - OSPCB",117
369,,Talcher,"Talcher Coalfields,Talcher - OSPCB",210
370,,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",109
371,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC",28
372,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",55
373,,Bathinda,"Hardev Nagar, Bathinda - PPCB",41
374,,Jalandhar,"Civil Line, Jalandhar - PPCB",64
375,,Khanna,"Kalal Majra, Khanna - PPCB",62
376,,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",56
377,,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",84.3
378,,Patiala,"Model Town, Patiala - PPCB",67
379,,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",67
380,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",81
381,,Alwar,"Moti Doongri, Alwar - RSPCB",60
382,,Banswara,"Rati Talai, Banswara - RSPCB",123
383,,Baran,"Bamboliya, Baran - RSPCB",105
384,,Barmer,"Railway Colony, Barmer - RSPCB",85
385,,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",89
386,,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",84.3
387,,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",125
388,,,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",116
389,,Bikaner,"MM Ground, Bikaner - RSPCB",99
390,,Bundi,"New Colony, Bundi - RSPCB",129
391,,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",131
392,,Churu,"Subash Chowk, Churu - RSPCB",118
393,,Dausa,"Khatikan Mohalla, Dausa - RSPCB",84.3
394,,Dholpur,"Raja Ganj, Dholpur - RSPCB",204
395,,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",105
396,,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",85
397,,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",83
398,,,"Mansarovar Sector-12, Jaipur - RSPCB",107
399,,,"Police Commissionerate, Jaipur - RSPCB",107
400,,,"RIICO Sitapura, Jaipur - RSPCB",151
401,,,"Sector-2 Murlipura, Jaipur - RSPCB",96
402,,,"Shastri Nagar, Jaipur - RSPCB",101
403,,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",86
404,,Jalore,"Mudtra Sili, Jalore - RSPCB",101
405,,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",89
406,,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",100
407,,Jodhpur,"Collectorate, Jodhpur - RSPCB",104
408,,,"Digari Kalan, Jodhpur - RSPCB",102
409,,,"Jhalamand, Jodhpur - RSPCB",160
410,,,"Mandor, Jodhpur - RSPCB",100
411,,,"Samrat Ashok Udhyan, Jodhpur - RSPCB",103
412,,Karauli,"Satyawati Vihar, Karauli - RSPCB",109
413,,Kota,"Dhanmandi, Kota - RSPCB",132
414,,,"Nayapura, Kota - RSPCB",132
415,,,"Shrinath Puram, Kota - RSPCB",134
416,,Nagaur,"Karni Colony, Nagaur - RSPCB",114
417,,Pali,"Indira Colony Vistar, Pali - RSPCB",142
418,,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",111
419,,Rajsamand,"Dhoinda, Rajsamand - RSPCB",82
